Möte,Dagordningspunkt,Brödtext,Förslagställare,Kommun,Organisation(er),Tid,Vem-taggar,Alla taggar,Rankning,Antal röstande
Testmöte,Utopi över skolan,föreslår att skolmaten ska vara supergod och näringsrik,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-05-30 10:39,,robin-3,,
Testmöte,Utopi över skolan,föreslår att all undervisning ska ske i VR,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-05-30 10:40,,robin-5,,
Testmöte,Utopi över skolan,föreslår alla ska vara snälla mot varandra,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-05-30 10:38,,robin-2,,
Testmöte,Utopi över skolan,föreslår att alla lärare kan programering snart,Anders Hultman,Stockholms kommun,,2018-05-30 10:40,,anders-3,,
Testmöte,Utopi över skolan,Föreslår att samtliga skolor är fullt ut digitaliserade och klassrumslösa 2022,Anders Hultman,Stockholms kommun,,2018-05-30 10:39,,anders-2,,
Testmöte,Utopi över skolan,föreslår att eleverna ska få hjälpa till och utveckla programmen som används i skolan,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-05-30 10:39,,robin-4,,
Testmöte,Delmål 2: Varför ska x vara y?,föreslår att y måste göras före x,Anders Hultman,Stockholms kommun,,2018-05-30 10:34,,anders-1,,
Testmöte,Delmål 2: Varför ska x vara y?,föreslår att jag testar @anders och att jag gör den #budget men håller med y måste göras före x OCH jag kan redigera ditt inlägg @tenneh...verkar fullt rimligt ;),Tenneh Kjellsson,,,2018-06-11 14:20,,tenneh-1 budget,,
Testmöte,Lågt hängande digitaliseringsfrukter,"föreslår Att vi underlättar för deltagarna att lägga in en profilbild, är det möjligt?",Annika Agelii - Genlott,,,2018-06-11 14:37,,annika-agelii-genlott-3,,
Testmöte,Lågt hängande digitaliseringsfrukter,föreslår Att det blir synligt när ngn har redigerat ngn annans inlägg ;) är det möjligt?,Annika Agelii - Genlott,,,2018-06-11 14:24,,annika-agelii-genlott-1,,
Testmöte,Lågt hängande digitaliseringsfrukter,föreslår föredra öppen källkod i upphandlingar så skolor och kommuner kan samarbeta med varandra,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-05-30 10:32,,robin-1,,
Testmöte,Lågt hängande digitaliseringsfrukter,föreslår Att vi har en liten återkoppling kring detta i em (måndag),Annika Agelii - Genlott,,,2018-06-11 14:27,,annika-agelii-genlott-2,,
Planera Almedalen,Prova här!,föreslår all makt åt Tengil,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-06-12 08:35,,robin-4,,
Planera Almedalen,Prova här!,Jag föreslår att vi delar ut glass och ballonger till alla barn!,Jan Hylén,,,2018-06-13 11:58,,jan-hylen-1,,
Planera Almedalen,Prova här!,föreslår hej alla!,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-06-12 08:45,,robin-5,,
Planera Almedalen,Fokusområde 1: Digital kompetens för alla i skolväsendet,Vilka är de mest betydelsefulla drivkrafterna för en framgångsrik och likvärdig utveckling av digital kompetens hos skolledare?,Hanna Forsberg,Danderyds kommun,,2018-06-13 19:57,,hanna-forsberg-2,,
Planera Almedalen,Fokusområde 1: Digital kompetens för alla i skolväsendet,Vilka är de mest påtagliga hindren för en framgångsrik och likvärdig utveckling av digital kompetens hos lärare?,Hanna Forsberg,Danderyds kommun,,2018-06-13 19:59,,hanna-forsberg-3,,
Planera Almedalen,Fokusområde 1: Digital kompetens för alla i skolväsendet,Vilka är de mest betydelsefulla drivkrafterna för en framgångsrik och likvärdig utveckling av digital kompetens hos lärare?,Hanna Forsberg,Danderyds kommun,,2018-06-13 19:56,,hanna-forsberg-1,,
